noun	gender	count
atterrissage	m	4039
attestation	f	33152
attique	m	1144
attirail	m	2451
attirance	f	12092
attitude	f	445338
attouchement	m	926
attracteur	m	2898
attraction	f	17197
attractivité	f	1643
attrait	m	22079
attrape	m	646
attribut	m	41097
attribution	f	17244
attroupement	m	7900
atténuation	f	12508
aubade	f	817
aubaine	f	17213
aube	f	9218
auberge	f	21494
aubergiste	m	2546
auctoritas	f	564
audace	f	13714
audacieux	m	787
audelà	m	527
audience	f	56305
audiencia	f	525
audiovisuel	m	579
audit	m	13764
auditeur	m	14551
audition	f	10271
auditoire	m	30121
auditorium	m	2072
auditrice	f	1091
auge	f	2304
augment	m	519
augmentation	f	568014
augure	m	928
auguste	m	566
augustinisme	m	621
aultre	f	755
aultre	m	502
aumento	m	696
aumône	f	6014
aumônerie	f	1430
aumônier	m	6810
aune	f	2388
auprès	f	725
auprès	m	995
aura	f	17206
aura	m	608
aurora	f	585
aurore	f	4931
auréole	f	10780
auscultation	f	908
ausencia	f	3306
austérité	f	4034
autarcie	f	2337
autel	m	30895
auteur	m	233371
auteure	f	1281
authenticité	f	9895
authentification	f	2155
authentique	f	8503
authentique	m	8505
autisme	m	1125
autiste	m	538
auto	f	42280
auto	m	8671
autobiographie	f	18433
autobus	m	10739
autocar	m	3144
autocensure	f	1964
autochtone	f	563
autochtone	m	2505
autoclave	m	799
autocollant	m	752
autocontrôle	m	912
autocorrélation	f	806
autocrate	m	1983
autocratie	f	1354
autocritique	f	6439
autodafé	m	2020
autodestruction	f	1168
autodidacte	m	4689
autodiscipline	f	900
autodéfense	f	684
autodétermination	f	1454
autofiction	f	569
autofinancement	m	1819
autoformation	f	516
autogestion	f	1756
autographe	m	2687
autolimitation	f	1174
automate	f	639
automate	m	14268
automatisation	f	3408
automatisme	m	6208
automitrailleuse	f	1116
automne	m	4074
automobile	f	20968
automobiliste	m	5033
automédication	f	509
autonomie	f	114867
autonomisation	f	5498
autonomía	f	564
autoportrait	m	8785
autopsie	f	4364
autor	m	544
autora	f	1839
autoridad	f	2152
autorisation	f	108212
autoritarisme	m	4245
autorité	f	246030
autoroute	f	15298
autoréflexion	f	530
autoréférence	f	575
autorégulation	f	2231
autosatisfaction	f	911
autosuffisance	f	2948
autour	f	1139
autour	m	1933
autoévaluation	f	931
autre	f	5054
autre	m	1557
autruche	f	1695
autrui	m	1293
auvent	m	4855
auxiliaire	f	2013
auxiliaire	m	16971
aval	m	2119
avalanche	f	15489
avance	f	39537
avancement	m	7984
avancée	f	44186
avant	f	12065
avant	m	44216
avantage	m	170418
avantgarde	f	921
avantgoût	m	710
avantprojet	m	820
avantpropos	m	532
avare	m	2486
avarice	f	1101
avarie	f	3316
avatar	m	16196
avenant	m	16167
avenir	m	225066
aventura	f	993
aventure	f	99136
aventurier	m	10921
aventurière	f	1551
avenue	f	9327
averse	f	5805
aversion	f	12057
avertissement	m	40694
avertisseur	m	801
aveu	m	34973
aveugle	f	1451
aveugle	m	14380
aveuglement	m	7250
aviateur	m	3816
aviation	f	4157
avidité	f	3940
avilissement	m	1289
avion	m	91822
aviron	m	807
avis	m	158642
aviso	m	1550
avocat	m	92500
avocate	f	2782
avoir	m	1551
avortement	m	12128
avorton	m	1262
avoué	m	3203
avril	m	774
avènement	m	3520
axe	m	105768
axiologie	f	3229
axiomatique	f	4833
axiomatisation	f	878
axiome	m	12444
axone	m	1083
ayatollah	m	581
ayuda	f	2122
azur	m	1245
aède	m	676
aération	f	2186
aérodrome	m	4162
aérogare	f	808
aérolithe	m	720
aéronef	m	6925
aéroplane	m	1658
aéroport	m	15529
aérosol	m	1839
aérostat	m	884
aîné	m	7750
aînée	f	731
aïeul	m	2999
aïeule	f	1639
año	m	1278
b	f	3183
b	m	4652
ba	f	779
ba	m	890
baba	m	816
babalawo	m	793
babil	m	2865
babillage	m	1917
babiole	f	581
babouin	m	1646
babouvisme	m	843
baby	m	724
bac	m	50845
baccalauréat	m	44668
bacchanale	f	1842
bacchante	f	1087
bachagha	m	722
bachelier	m	4389
bachot	m	1145
bachotage	m	897
bacille	m	7142
back	m	642
background	m	1483
bacon	m	657
bactérie	f	27336
bactériologie	f	3213
bactériophage	m	948
bactériose	f	1071
bactériurie	f	548
bactériémie	f	912
badaud	m	1950
badge	m	4652
badigeon	m	2492
badigeonnage	m	798
badin	m	662
badinage	m	2729
badine	f	1327
badminton	m	514
baffe	f	1164
